cxn,num_attr,position,syn_comp,sem_rel,person,num_pp,gender,style,Noun
w,1,na,s,kinsh,1,sing,na,lit,brother
w,1,na,o,kinsh,1,sing,na,lit,brother
w,1,na,o,kinsh,1,sing,na,lit,brother
w,1,na,o,kinsh,1,sing,na,lit,brother
w,1,na,o,kinsh,1,sing,na,lit,brother
w,1,na,o,kinsh,1,sing,na,news,brother
w,1,na,na,kinsh,1,sing,na,news,brother
w,1,na,s,kinsh,1,sing,na,news,brother
w,1,na,o,kinsh,1,sing,na,news,brother
w,1,na,o,kinsh,2,sing,na,lit,brother
w,1,na,o,kinsh,2,sing,na,lit,brother
w,1,na,o,kinsh,2,sing,na,lit,brother
w,1,na,s,kinsh,2,sing,na,lit,brother
w,1,na,s,kinsh,2,sing,na,lit,brother
w,1,na,o,kinsh,2,sing,na,news,brother
w,1,na,s,kinsh,2,sing,na,news,brother
w,1,na,o,kinsh,3,sing,m,lit,brother
w,1,na,o,kinsh,3,sing,m,lit,brother
w,2,l,o,kinsh,3,sing,m,lit,brother
w,1,na,o,kinsh,3,sing,m,lit,brother
w,1,na,s,kinsh,3,sing,m,lit,brother
w,1,na,o,kinsh,3,sing,m,news,brother
w,1,na,o,kinsh,3,sing,m,news,brother
w,1,na,o,kinsh,3,sing,m,news,brother
w,1,na,na,kinsh,3,sing,m,news,brother
w,1,na,s,kinsh,3,sing,m,news,brother
w,1,na,o,kinsh,3,sing,f,lit,brother
w,1,na,o,kinsh,3,sing,f,lit,brother
w,1,na,o,kinsh,3,sing,f,lit,brother
w,1,na,o,kinsh,3,sing,f,lit,brother
w,1,na,o,kinsh,3,sing,f,lit,brother
w,1,na,o,kinsh,3,sing,f,news,brother
w,1,na,o,kinsh,3,sing,f,news,brother
w,1,na,o,kinsh,3,sing,f,news,brother
w,1,na,na,kinsh,3,sing,f,news,brother
w,1,na,s,kinsh,3,sing,f,news,brother
w,1,na,na,kinsh,1,pl,na,lit,brother
w,1,na,o,kinsh,1,pl,na,lit,brother
w,1,na,o,kinsh,1,pl,na,lit,brother
w,1,na,o,kinsh,1,pl,na,lit,brother
w,1,na,o,kinsh,1,pl,na,lit,brother
w,1,na,o,kinsh,1,pl,na,news,brother
w,1,na,s,kinsh,1,pl,na,news,brother
w,m,r,o,kinsh,1,pl,na,news,brother
w,1,na,o,kinsh,1,pl,na,news,brother
w,1,na,o,kinsh,1,pl,na,news,brother
w,1,na,o,kinsh,2,pl,na,lit,brother
w,1,na,o,kinsh,2,pl,na,lit,brother
w,1,na,s,kinsh,2,pl,na,lit,brother
w,1,na,o,kinsh,2,pl,na,lit,brother
w,1,na,o,kinsh,2,pl,na,lit,brother
w,1,na,s,kinsh,2,pl,na,news,brother
w,1,na,s,kinsh,2,pl,na,news,brother
w,1,na,o,kinsh,2,pl,na,news,brother
w,2,l,o,kinsh,2,pl,na,news,brother
w,1,na,na,kinsh,2,pl,na,news,brother
w,1,na,o,kinsh,3,pl,m,lit,brother
w,1,na,o,kinsh,3,pl,m,lit,brother
w,1,na,o,kinsh,3,pl,m,lit,brother
w,1,na,o,kinsh,3,pl,m,lit,brother
w,1,na,o,kinsh,3,pl,m,lit,brother
w,1,na,o,kinsh,3,pl,m,news,brother
w,1,na,o,kinsh,3,pl,m,news,brother
w,1,na,o,kinsh,3,pl,m,news,brother
w,1,na,o,kinsh,3,pl,m,news,brother
w,1,na,o,kinsh,3,pl,m,news,brother
w,1,na,o,kinsh,3,pl,f,lit,brother
w,1,na,o,kinsh,3,pl,f,lit,brother
w,1,na,s,kinsh,3,pl,f,lit,brother
w,2,l,o,kinsh,3,pl,f,lit,brother
w,1,na,na,kinsh,3,pl,f,news,brother
w,1,na,o,kinsh,3,pl,f,news,brother
w,1,na,s,kinsh,3,pl,f,news,brother
wo,1,na,o,kinsh,1,sing,na,lit,brother
wo,1,na,o,kinsh,1,sing,na,lit,brother
wo,1,na,o,kinsh,1,sing,na,lit,brother
wo,1,na,o,kinsh,1,sing,na,lit,brother
wo,1,na,o,kinsh,1,sing,na,news,brother
wo,1,na,s,kinsh,2,sing,na,lit,brother
wo,1,na,o,kinsh,2,sing,na,lit,brother
wo,1,na,o,kinsh,2,sing,na,lit,brother
wo,1,na,o,kinsh,2,sing,na,lit,brother
wo,1,na,o,kinsh,2,sing,na,lit,brother
wo,1,na,na,kinsh,2,sing,na,news,brother
wo,1,na,o,kinsh,3,sing,m,lit,brother
wo,1,na,o,kinsh,3,sing,m,lit,brother
wo,1,na,o,kinsh,3,sing,m,lit,brother
wo,1,na,o,kinsh,3,sing,m,lit,brother
wo,1,na,na,kinsh,3,sing,m,news,brother
wo,1,na,o,kinsh,3,sing,m,news,brother
wo,m,l,s,kinsh,3,sing,m,news,brother
wo,1,na,o,kinsh,3,sing,f,lit,brother
wo,1,na,s,kinsh,3,sing,f,lit,brother
wo,1,na,o,kinsh,3,sing,f,lit,brother
wo,1,na,o,kinsh,3,sing,f,lit,brother
wo,1,na,o,kinsh,3,sing,f,news,brother
wo,1,na,s,kinsh,3,sing,f,news,brother
wo,2,l,o,kinsh,3,sing,f,news,brother
wo,1,na,na,kinsh,3,pl,f,lit,brother
wo,m,l,o,kinsh,3,pl,f,lit,brother
